Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,grange.co.uk,hrowen.co.uk,grange.co.uk (pages),hrowen.co.uk (pages),Results
lamborghini,Navigational,110000,73,0.77,0.82,26,6,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,207000000
rolls royce,"Informational, Navigational",90500,88,0.95,0.53,27,26,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/used-cars/,158000000
bentley,Navigational,49500,62,1.10,0.63,29,8,https://www.grange.co.uk/bentley,https://www.hrowen.co.uk/bentley/model-range/,177000000
lamborghini urus,"Informational, Transactional",49500,30,0.18,0.96,21,6,https://www.grange.co.uk/lamborghini/new-cars/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,10
aston martin aston martin aston martin,"Informational, Transactional",40500,49,0.47,0.74,6,8,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/,163000000
cars lamborghini urus,Navigational,40500,42,0.18,0.96,9,5,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/urus,https://www.hrowen.co.uk/lamborghini/urus-range/,20800000
bentley continental gt,Informational,22200,38,0.65,1.00,15,5,https://www.grange.co.uk/bentley/new-cars/continental-gt,https://www.hrowen.co.uk/bentley/continental-gt-range/,14600000
rolls royce rolls royce rolls royce,Navigational,22200,80,0.95,0.53,24,7,https://www.grange.co.uk/rolls-royce,https://www.hrowen.co.uk/rolls-royce/model-range/,156000000
bentley bentayga,Informational,18100,28,0.86,0.98,32,7,https://www.grange.co.uk/bentley/new-cars/bentayga,https://www.hrowen.co.uk/bentley/bentayga-range/,10
cars lamborghini huracan,Navigational,18100,40,0.15,0.78,16,7,https://www.grange.co.uk/lamborghini/used-cars/lamborghini/huracan,https://www.hrowen.co.uk/lamborghini/huracan-range/,28700000
rolls royce cullinan,"Informational, Navigational",18100,26,0.19,0.93,10,4,https://www.grange.co.uk/rolls-royce/new-cars/cullinan/cullinan,https://www.hrowen.co.uk/rolls-royce/cullinan-range/,9
aston martin aston,Informational,14800,53,0.47,0.74,14,9,https://www.grange.co.uk/aston-martin/new-cars,https://www.hrowen.co.uk/aston-martin/,158000000
bentley continental continental gt,Informational,14800,40,0.65,1.00,25,9,https://www.grange.co.uk/bentley/new-cars/continental-gtc,https://www.hrowen.co.uk/bentley/continental-gt-range/,17700000
lambo,Navigational,14800,74,0.77,0.82,16,5,https://www.grange.co.uk/lamborghini/heritage,https://www.hrowen.co.uk/lamborghini/,240000000
roll rolls royce,Navigational,14800,72,0.95,0.53,35,24,https://www.grange.co.uk/rolls-royce/new-cars,https://www.hrowen.co.uk/rolls-royce/model-range/,16900000
